Library	License	Homepage	About	Memo
shaderwriter	MIT	https://github.com/DragonJoker/ShaderWriter	Library to write shaders directly from C++ code, supports GLSL, HLSL and SPIRV outputs.	
shapelib		https://download.osgeo.org/shapelib	Shapefile C Library is simple C API for reading and writing ESRI Shapefiles	
shiftmedia-libgcrypt	LGPL-2.1-only	https://github.com/ShiftMediaProject/libgcrypt	An unofficial LibGCrypt with added custom native Visual Studio project build tools. LibGCrypt	
shiftmedia-libgnutls	LGPL-2.1-only	https://github.com/ShiftMediaProject/gnutls	Unofficial GnuTLS fork with added custom native Visual Studio project build tools. 	
shiftmedia-libgpg-error	LGPL-2.1-only	https://github.com/ShiftMediaProject/libgpg-error	An unofficial libgpg-error with added native Visual Studio project system	
shiva		https://github.com/Milerius/shiva	Modern C++ Game Engine	
shiva-sfml			shiva-sfml plugins of shiva C++ engine	
shogun		https://github.com/shogun-toolbox/shogun	Unified and efficient Machine Learning	
signalrclient		https://github.com/SignalR/SignalR-Client-Cpp	C++ client for SignalR.	
sigslot			Portable C++ type-safe, thread-safe signal/slot library for ISO C++, Unix/BSD/Linux and Win32. Sigslot allows C++ code to use the signal/slot paradigm made popular by, for example, Qt.	
simage	ISC	https://github.com/coin3d/simage	Image file format library abstraction layer	
simbody	Apache-2.0	https://simtk.org/home/simbody	High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical systems like vehicles, robots, and the human skeleton.	
simd	MIT	https://github.com/ermig1979/Simd	Simd image processing and machine learning library, designed for C and C++ programmers	
simde		https://github.com/simd-everywhere/simde	Implementations of SIMD instruction sets for systems which don't natively support them	
simdjson	Apache-2.0	https://simdjson.org/	A extremely fast JSON library that can parse gigabytes of JSON per second	
simdutf		https://github.com/simdutf/simdutf	Unicode validation and transcoding at billions of characters per second	
simple-fft		https://github.com/d1vanov/Simple-FFT	Header-only C++ library implementing fast Fourier transform of 1D, 2D and 3D data	
simpleini	MIT	https://github.com/brofield/simpleini	Cross-platform C++ library providing a simple API to read and write INI-style configuration files	
sjpeg	Apache-2.0	https://github.com/webmproject/sjpeg	Simple library for encoding baseline JPEG files	
skcrypter		https://github.com/skadro-official/skCrypter	Compile-time, Usermode + Kernelmode, safe and lightweight string crypter library for C++11	
skia	None	https://skia.org	['Skia is an open source 2D graphics library which provides common APIs that work across a variety of hardware and software platforms.', 'It serves as the graphics engine for Google Chrome and Chrome OS, Android, Mozilla Firefox and Firefox OS, and many other products.', 'Skia is sponsored and managed by Google, but is available for use by anyone under the BSD Free Software License. While engineering of the core components is done by the Skia development team, we consider contributions from any source.']	
skyr-url		https://github.com/cpp-netlib/url	A C++ library that implements the WhatWG URL specification	
sleef	BSL-1.0	https://sleef.org/	SIMD Library for Evaluating Elementary Functions, vectorized libm and DFT	
sleepy-discord		https://yourwaifu.dev/sleepy-discord/	C++ library for the Discord chat client	
slikenet		https://github.com/SLikeSoft/SLikeNet	SLikeNetT is an Open Source/Free Software cross-platform network engine written in C++ and specifially designed for games (and applications which have comparable requirements on a network engine like games) building upon the discontinued RakNet network engine which had more than 13 years of active development.	
sltbench		https://github.com/ivafanas/sltbench	C++ benchmark tool. Practical, stable and fast performance testing framework.	
smf	Apache-2.0	https://github.com/vpetrigo/smf	State machine framework	
smpeg2		https://www.libsdl.org/projects/smpeg/	SDL MPEG Player Library	
snappy	None	https://github.com/google/snappy	A fast compressor/decompressor.	
sndfile			x Library to read, write and manipulate many soundfile types.	
snowhouse			An assertion library for C++	
so5extra	BSD-3-Clause	https://github.com/Stiffstream/so5extra	A set of additional tools for SObjectizer framework.	
sobjectizer	BSD-3-Clause	https://github.com/Stiffstream/sobjectizer	SObjectizer is a C++ in-process message dispatching framework with implementation of Actor Model, Publish-Subscribe Model and CSP-like channels.	
soci		https://github.com/SOCI/soci	SOCI database access library	
socket-io-client	MIT	https://github.com/socketio/socket.io-client-cpp	C++11 implementation of Socket.IO client	
sockpp	BSD-3-Clause	https://github.com/fpagliughi/sockpp	Simple, modern, C++ socket library. This is a fairly low-level C++ wrapper around the Berkeley sockets library using socket, acceptor, and connector classes that are familiar concepts from other languages.	
soem		https://github.com/OpenEtherCATsociety/SOEM	Simple Open Source EtherCAT Master	
soil		https://github.com/paralin/soil	SOIL is a tiny C library used primarily for uploading textures into OpenGL.	
soil2	MIT-0	https://github.com/SpartanJ/SOIL2	Simple OpenGL Image Library 2	
sokol		https://github.com/floooh/sokol	Minimal cross-platform standalone C headers	
sol2	MIT	https://github.com/ThePhD/sol2	Sol v2.0 - a C++ <-> Lua API wrapper with advanced features and top notch performance - is here, and it's great	
solid3	GPL-2.0-only OR QPL-1.0		Software Library for Interference Detection	
sophus	MIT	https://github.com/strasdat/Sophus	Lie group library for C++	
soqt		https://github.com/coin3d/soqt	A Qt Gui-toolkit binding for Coin	
sord	ISC	https://drobilla.net/software/sord	Sord is a lightweight C library for storing RDF statements in memory.	
soundtouch		https://www.surina.net/soundtouch	SoundTouch is an open-source audio processing library for changing the Tempo, Pitch and Playback Rates of audio streams or audio files.	
soxr		https://sourceforge.net/projects/soxr/	High quality audio resampling	
spaceland			Spaceland Lib (sl) is a suite for geometric computation, specifically adapted to OpenGL.	
span-lite		https://github.com/martinmoene/span-lite	A C++20-like span for C++98, C++11 and later in a single-file header-only library	
sparsehash		https://github.com/sparsehash/sparsehash	The sparsehash package consists of two hashtable implementations: sparse, which is designed to be very space efficient, and dense, which is designed to be very time efficient.	
sparsepp			A fast, memory efficient hash map for C++	
spatialite-tools	GPL-3.0-or-later	https://www.gaia-gis.it/fossil/spatialite-tools/index	Contains spatialite.exe and other command line tools to work with SpatiaLite databases (import, export, SQL queries)	
spdk			Storage Performance Development Kit	
spdk-dpdk			SPDK mirror of DPDK. A set of libraries and drivers for fast packet processing	
spdk-ipsec			SPDK mirror of ipsec. Intel(R) Multi-Buffer Crypto for IPsec Library	
spdk-isal	BSD-3-Clause	https://github.com/spdk/isa-l	SPDK mirror of isa-l. Intel(R) Intelligent Storage Acceleration Library	
spdlog	MIT	https://github.com/gabime/spdlog	Very fast, header only, C++ logging library	
spectra	MPL-2.0	https://spectralib.org	A header-only C++ library for large scale eigenvalue problems	
speex	BSD-3-Clause	https://github.com/xiph/speex	Speex is an Open Source/Free Software patent-free audio compression format designed for speech.	
speexdsp	BSD-3-Clause	https://speex.org/	A patent-free, Open Source/Free Software DSP library.	
spine-runtimes	None	https://github.com/EsotericSoftware/spine-runtimes	2D skeletal animation runtimes for Spine	
spirit-po		https://github.com/cbeck88/spirit-po	A header-only C++ library for localization using GNU gettext po files, based on Boost.Spirit.	
spirv-cross		https://github.com/KhronosGroup/SPIRV-Cross	SPIRV-Cross is a practical tool and library for performing reflection on SPIR-V and disassembling SPIR-V back to high level languages.	
spirv-headers		https://github.com/KhronosGroup/SPIRV-Headers	Machine-readable files for the SPIR-V Registry	
spirv-reflect	Apache-2.0	https://github.com/KhronosGroup/SPIRV-Reflect	SPIRV-Reflect is a lightweight library that provides a C/C++ reflection API for SPIR-V shader bytecode in Vulkan applications.	
spirv-tools	Apache-2.0	https://github.com/KhronosGroup/SPIRV-Tools	API and commands for processing SPIR-V modules	
spix		https://github.com/faaxm/spix	A minimally invasive UI testing library that enables your Qt/QML app's UI to be controlled either via c++ code, or through an http RPC interface.	
sprout		https://github.com/bolero-MURAKAMI/Sprout	C++11/14 constexpr based Containers, Algorithms, Random numbers, Parsing, Ray tracing, Synthesizer, and others	
spscqueue		https://github.com/rigtorp/SPSCQueue	A bounded single-producer single-consumer wait-free and lock-free queue written in C++11	
sqlcipher	None	https://www.zetetic.net/sqlcipher	SQLCipher extends the SQLite database library to add security enhancements that make it more suitable for encrypted local data storage.	
sqlite-modern-cpp		https://github.com/aminroosta/sqlite_modern_cpp	The C++14 wrapper around sqlite library	
sqlite-orm	AGPL-3.0-or-later OR MIT	https://github.com/fnc12/sqlite_orm	SQLite ORM light header only library for modern C++	
sqlite3	blessing	https://sqlite.org/	SQLite is a software library that implements a self-contained, serverless, zero-configuration, transactional SQL database engine.	
sqlitecpp	MIT	https://github.com/SRombauts/SQLiteCpp	SQLiteC++ (SQLiteCpp) is a smart and easy to use C++ SQLite3 wrapper.	
sqlpp11	BSD-2-Clause	https://github.com/rbock/sqlpp11	A type safe embedded domain specific language for SQL queries and results in C++.	
sqlpp11-connector-mysql	BSD-2-Clause	https://github.com/rbock/sqlpp11-connector-mysql	A C++ wrapper for MySQL meant to be used in combination with sqlpp11 (obsolete, use sqlpp11 with the mariadb/mysql feature instead)	
sqlpp11-connector-sqlite3	BSD-2-Clause	https://github.com/rbock/sqlpp11-connector-sqlite3	A C++ wrapper for sqlite3 meant to be used in combination with sqlpp11 (obsolete, use sqlpp11 with the sqlite3 feature instead)	
squirrel		http://www.squirrel-lang.org	Squirrel is a high level imperative, object-oriented programming language, designed to be a light-weight scripting language that fits in the size, memory bandwidth, and real-time requirements of applications like video games.	
sratom	ISC	https://drobilla.net/software/sratom	Sratom is a library for serialising LV2 atoms to and from RDF, particularly the Turtle syntax.	
srell	BSD-2-Clause	https://www.akenotsuki.com/misc/srell/en/	SRELL (std::regex-like library) is a regular expression template library for C++.	
srpc		https://github.com/sogou/srpc	RPC based on Sogou C++ Workflow	
sse2neon	MIT	https://github.com/DLTcollab/sse2neon	A translator from Intel SSE intrinsics to Arm/Aarch64 NEON implementation	
starlink-ast		https://starlink.eao.hawaii.edu/starlink/AST	The AST library provides a comprehensive range of facilities for attaching world coordinate systems to astronomical data, for retrieving and interpreting that information and for generating graphical output based on it	
staticjson	MIT	https://github.com/netheril96/StaticJSON	Fast, direct and static typed parsing of JSON with C++	
status-code	Apache-2.0 OR BSL-1.0	https://github.com/ned14/status-code	Proposed SG14 status_code for the C++ standard (https://wg21.link/P1028).	
status-value-lite		https://github.com/martinmoene/status-value-lite	status_value is a single-file header-only library for objects that represent a status and an optional value. It is intended for use with C++11 and later.	
stb	MIT OR CC-PDDC	https://github.com/nothings/stb	public domain header-only libraries	
stduuid	MIT		A C++17 cross-platform implementation for UUIDs	
stftpitchshift	MIT		STFT based multi pitch shifting with optional formant preservation.	
stlab			['stlab is the ongoing work of what was Adobe Software Technology Lab.', 'The Concurrency library provides futures and channels, high level constructs for implementing algorithms that eases the use of multiple CPU cores while minimizing contention. This library solves several problems of the C++11 and C++17 TS futures.']	
stormlib			StormLib is a library for opening and manipulating Blizzard MPQ files	
strict-variant			Tagged union implementation that will never throw an exception or make a dynamic allocation in the effort of supporting types that have throwing moves.	
string-theory	MIT	https://github.com/zrax/string_theory	Flexible modern C++ string library with type-safe formatting.	
string-view-lite	BSL-1.0		A C++17-like string_view for C++98, C++11 and later in a single-file header-only library	
strong-type	BSL-1.0	https://github.com/rollbear/strong_type	An additive strong typedef library for C++14/17/20	
stronk	MIT	https://github.com/twig-energy/stronk	An easy to customize, strong type library with built in support for unit-like behavior	
strtk		https://github.com/ArashPartow/strtk	robust, optimized and portable string processing algorithms for the C++ language	
stx		https://github.com/lamarrr/STX	C++17 & C++ 20 error-handling and utility extensions	
stxxl			Standard Template Library for Extra Large Data Sets	
suitesparse		http://suitesparse.com	A suite of sparse matrix algorithms. Also provides libcxsparse.	
sundials		https://computation.llnl.gov/projects/sundials	SUNDIALS (SUite of Nonlinear and DIfferential/ALgebraic equation Solvers)	
superlu	BSD-3-Clause-LBNL	https://github.com/xiaoyeli/superlu	Supernodal sparse direct solver.	
symengine	BSD-3-Clause	https://github.com/symengine/symengine	SymEngine is a fast symbolic manipulation library	
systemc			A set of C++ classes and macros which provide an event-driven simulation kernel in C++	
szip	None	https://support.hdfgroup.org/ftp/lib-external/szip	Szip compression software, providing lossless compression of scientific data	
tabulate	MIT AND BSL-1.0 AND BSD-3-Clause	https://github.com/p-ranav/tabulate	Table maker for modern C++	
tacopie		https://github.com/cpp-redis/tacopie	Tacopie is a TCP Client & Server C++11 library	
taglib	LGPL-2.1-only OR MPL-1.1	https://taglib.org/	TagLib Audio Meta-Data Library	
taocpp-json			C++ header-only JSON library	
tap-windows6			an NDIS 6 implementation of the TAP-Windows driver, used by OpenVPN and other apps. Note: This package only contains the headers for the driver.	
taskflow	MIT	https://github.com/taskflow/taskflow	Fast Parallel Tasking Programming Library using Modern C++	
tbb	Apache-2.0	https://github.com/oneapi-src/oneTBB	Intel's Threading Building Blocks.	
tcb-span	BSL-1.0	https://github.com/tcbrindle/span	Implementation of C++20's std::span for older compilers	
tcl		https://github.com/tcltk/tcl	Tcl provides a powerful platform for creating integration applications that tie together diverse applications, protocols, devices, and frameworks. When paired with the Tk toolkit, Tcl provides the fastest and most powerful way to create GUI applications that run on PCs, Unix, and Mac OS X. Tcl can also be used for a variety of web-related tasks and for creating powerful command languages for applications.	
tclap	MIT	https://sourceforge.net/projects/tclap/	Templatized command-line argument parser for C++	
tcp-pubsub	MIT	https://github.com/eclipse-ecal/tcp_pubsub	TCP based publish-subscribe library for C++	
teemo		https://github.com/winsoft666/teemo	C++ File Download Library, support Multithreading, Breakpoint Transmission, Speed Limit, Real-time Speed.	
telnetpp		https://github.com/KazDragon/telnetpp	Telnet++ is an implementation of the Telnet Session Layer protocol using C++14	
tensorflow	Apache-2.0	https://github.com/tensorflow/tensorflow	Library for computation using data flow graphs for scalable machine learning (C API version)	
tensorflow-cc	Apache-2.0	https://github.com/tensorflow/tensorflow	Library for computation using data flow graphs for scalable machine learning (C++ API version)	
tensorflow-common	Apache-2.0	https://github.com/tensorflow/tensorflow	This meta package holds common files for the C [tensorflow] and the C++ [tensorflow-cc] API version of TensorFlow but is not installable on its own.	
tensorpipe	BSD-3-Clause	https://github.com/pytorch/tensorpipe	A tensor-aware point-to-point communication primitive for machine learning	
termcolor	BSD-3-Clause	https://github.com/ikalnytskyi/termcolor	Termcolor is a header-only C++ library for printing colored messages to the terminal.	
tesseract	Apache-2.0	https://github.com/tesseract-ocr/tesseract	An OCR Engine that was developed at HP Labs between 1985 and 1995... and now at Google.	
tfhe		https://github.com/tfhe/tfhe	TFHE is open-source software distributed under the terms of the Apache 2.0 license.	
tgbot-cpp	MIT	https://github.com/reo7sp/tgbot-cpp	C++ library for Telegram bot API.	
tgc		https://github.com/orangeduck/tgc	A tiny garbage collector for C	
tgui	Zlib	https://tgui.eu	TGUI is an easy to use, cross-platform, C++ GUI for SFML.	
theia	BSD-3-Clause	https://github.com/sweeneychris/TheiaSfM	An open source library for multiview geometry and structure from motion	
think-cell-range		https://github.com/think-cell/range	think-cell's range library	
thor	Zlib	https://bromeon.ch/libraries/thor/	Extends the multimedia library SFML with higher-level features	
thorvg	MIT	https://www.thorvg.org	ThorVG is a platform-independent portable library for drawing vector-based scenes and animations	
threadpool		http://threadpool.sourceforge.net/	threadpool is a cross-platform C++ thread pool library. It provides a convenient way for dispatching asynchronous tasks and can be easily customized. threadpool is based on the high-quality Boost source libraries.	
thrift	Apache-2.0	https://github.com/apache/thrift	Apache Thrift is a software project spanning a variety of programming languages and use cases. Our goal is to make reliable, performant communication and data serialization across languages as efficient and seamless as possible.	
tidy-html5	None	https://www.html-tidy.org	Tidy tidies HTML and XML. It can tidy your documents by itself, and developers can easily integrate its features into even more powerful tools.	
tiff	None	https://libtiff.gitlab.io/libtiff/	A library that supports the manipulation of TIFF image files	
tinkerforge			Tinkerforge C API bindings for bricks and bricklets	
tiny-aes-c		https://github.com/kokke/tiny-AES-c	Small portable AES128/192/256 in C	
tiny-bignum-c		https://github.com/kokke/tiny-bignum-c	Small portable multiple-precision unsigned integer arithmetic in C	
tiny-dnn		https://github.com/tiny-dnn/tiny-dnn	A C++14 implementation of deep learning. It is suitable for deep learning on limited computational resource.	
tiny-process-library	MIT	https://gitlab.com/eidheim/tiny-process-library/	A small platform independent library to create and stop new processes in C++	
tiny-regex-c		https://github.com/kokke/tiny-regex-c	A small regex implementation in C	
tinycbor	MIT	https://github.com/intel/tinycbor	Concise Binary Object Representation (CBOR) Library	
tinycthread		https://tinycthread.github.io/	Small, portable implementation of the C11 threads API	
tinydir	BSD-2-Clause	https://github.com/cxong/tinydir	Lightweight, portable and easy to integrate C directory and file reader	
tinyexif		https://github.com/cdcseacave/TinyEXIF	tiny ISO-compliant C++ EXIF and XMP parsing library for JPEG images	
tinyexpr	Zlib	https://codeplea.com/tinyexpr	Tiny recursive descent parser and evaluation engine in C	
tinyexr	BSD-3-Clause	https://github.com/syoyo/tinyexr	Library to load and save OpenEXR(.exr) images	
tinyfiledialogs		https://sourceforge.net/projects/tinyfiledialogs/	Highly portable and cross-platform dialogs for native inputbox, passwordbox, colorpicker and more	
tinygltf		https://github.com/syoyo/tinygltf	A header only C++11 glTF 2.0 library.	
tinynpy			tiny C++ loader/exporter of python numpy array NPY/NPZ files	
tinyobjloader	MIT		Tiny but powerful single file wavefront obj loader	
tinyply	BSD-2-Clause	https://github.com/ddiakopoulos/tinyply	C++11 ply 3d mesh format importer & exporter	
tinyspline	MIT	https://github.com/msteinbeck/tinyspline	Library for NURBS, B-Splines, and Bézier curves, allowing you to handle splines with ease	
tinythread		https://tinythreadpp.bitsnbites.eu/	Implements a fairly compatible subset of the C++11 thread management classes	
tinytoml		https://github.com/mayah/tinytoml	A header only C++11 library for parsing TOML.	
tinyutf8	BSD-3-Clause		TINYUTF8 is a library for extremely easy integration of Unicode into an arbitrary C++11 project.	
tinyxml		https://sourceforge.net/projects/tinyxml	A simple, small, minimal, C++ XML parser that can be easily integrating into other programs.	
tinyxml2	Zlib	https://github.com/leethomason/tinyxml2	A simple, small, efficient, C++ XML parser	
tl-expected	CC0-1.0	https://github.com/TartanLlama/expected	C++11/14/17 std::expected implementation with functional-style extensions	
tl-function-ref			A lightweight, non-owning reference to a callable.	
tl-generator		https://tl.tartanllama.xyz	Single-header, ranges-compatible generator type built on C++20 coroutines	
tl-optional	CC0-1.0	https://github.com/TartanLlama/optional	C++11/14/17 std::optional implementation with functional-style extensions	
tl-ranges	CC0-1.0	https://github.com/TartanLlama/ranges	Ranges that didn't make C++20	
tlx		https://github.com/tlx/tlx	tlx is a collection of C++ helpers and extensions universally needed, but not found in the STL	
tmx	BSD-2-Clause		A portable C library to load tiled maps in your games.	
tmxlite	Zlib		A lightweight C++14 parsing library for tmx map files created with the Tiled map editor.	
tmxparser	BSD-2-Clause		C++11 library for parsing the maps generated by the Map Editor called Tiled.	
toml11	MIT	https://github.com/ToruNiina/toml11	A C++11 header-only toml parser/encoder depending only on C++ standard library.	
tomlplusplus	MIT	https://marzer.github.io/tomlplusplus/	Header-only TOML config file parser and serializer for modern C++.	
tool-meson		https://github.com/mesonbuild/meson	Meson build system	
torch-th	BSD-3-Clause	https://github.com/torch/torch7	Torch's TH library	
tracy	BSD-3-Clause	https://github.com/wolfpld/tracy	A real time, nanosecond resolution, remote telemetry, hybrid frame and sampling profiler for games and other applications.	
transwarp	MIT	https://github.com/bloomen/transwarp	A header-only C++ library for task concurrency	
trantor	BSD-2-Clause	https://github.com/an-tao/trantor	A non-blocking I/O cross-platform TCP network library, using C++14	
tre		https://github.com/laurikari/tre	TRE is a lightweight, robust, and efficient POSIX compliant regexp matching library with some exciting features such as approximate (fuzzy) matching.	
tree-sitter	MIT	https://github.com/tree-sitter/tree-sitter	An incremental parsing system for programming tools.	
treehh	GPL-2.0-only OR GPL-3.0-only	https://github.com/kpeeters/tree.hh	An STL-like C++ header-only tree library	
treehopper		https://treehopper.io	Treehopper connects the physical world to your computer, tablet, or smartphone.	
triangle		http://www.cs.cmu.edu/~quake/triangle.html	A Two-Dimensional Quality Mesh Generator and Delaunay Triangulator.	
triton	Apache-2.0	https://github.com/JonathanSalwan/Triton	Triton is a Dynamic Binary Analysis (DBA) framework. It provides internal components like a Dynamic Symbolic Execution (DSE) engine, a dynamic taint engine, AST representations of the x86, x86-64, ARM32 and AArch64 Instructions Set Architecture (ISA), SMT simplification passes, an SMT solver interface and, the last but not least, Python bindings.	
trompeloeil	BSL-1.0	https://github.com/rollbear/trompeloeil	A thread-safe header-only mocking framework for C++11/14 using the Boost Software License 1.0	
tsl-hopscotch-map			C++ implementation of a fast hash map and hash set using hopscotch hashing	
tsl-ordered-map			C++ hash map and hash set which preserve the order of insertion	
tsl-sparse-map			C++ implementation of a memory efficient hash map and hash set	
ttauri	BSL-1.0	https://github.com/ttauri-project/ttauri	A portable, low latency, retained-mode GUI framework written in C++. (renamed to hikogui)	
turbobase64	GPL-3.0-only	https://github.com/powturbo/Turbo-Base64	Fastest Base64 SIMD/Neon library	
tvision	MIT	https://github.com/magiblot/tvision	A modern port of Turbo Vision 2.0, the classical framework for text-based user interfaces.	
tweeny		https://github.com/mobius3/tweeny	A modern C++ tweening library	
type-lite		https://github.com/martinmoene/type-lite	Strong types for C++98, C++11 and later in a single-file header-only library.	
type-safe		https://github.com/foonathan/type_safe	Zero overhead abstractions that use the C++ type system to prevent bugs.	
uchardet		https://cgit.freedesktop.org/uchardet/uchardet/	An encoding detector library ported from Mozilla.	
umock-c	MIT	https://github.com/Azure/umock-c	A pure C mocking library	
unicorn	GPL-2.0-only	https://github.com/unicorn-engine/unicorn	Unicorn is a lightweight multi-platform, multi-architecture CPU emulator framework	
unicorn-lib	MIT	https://github.com/CaptainCrowbar/unicorn-lib	Unicode library for C++ by Ross Smith	
units	MIT	https://github.com/nholthaus/units	A compile-time, header-only, dimensional analysis and unit conversion library built on c++14 with no dependencies.	
unittest-cpp		https://github.com/unittest-cpp/unittest-cpp	A lightweight unit testing framework for C++	
unixodbc	LGPL-2.1-only	https://github.com/lurcher/unixODBC	unixODBC is an Open Source ODBC sub-system and an ODBC SDK for Linux, Mac OSX, and UNIX	
unqlite	BSD-2-Clause	https://unqlite.org/	An embedded NoSQL, transactional database engine	
unrar	None	https://www.rarlab.com	rarlab's unrar library	
upb	BSD-2-Clause	https://github.com/protocolbuffers/upb/	μpb (often written 'upb') is a small protobuf implementation written in C.	
urdfdom	BSD-3-Clause	https://github.com/ros/urdfdom	Provides core data structures and a simple XML parsers for populating the class data structures from an URDF file.	
urdfdom-headers	BSD-2-Clause	https://github.com/ros/urdfdom_headers	The URDF (U-Robot Description Format) headers provides core data structure headers for URDF.	
urho3d		https://github.com/urho3d/Urho3D	Urho3D is a free lightweight, cross-platform 2D and 3D game engine implemented in C++ and released under the MIT license. Greatly inspired by OGRE and Horde3D.	
uriparser	BSD-3-Clause	https://uriparser.github.io/	Strictly RFC 3986 compliant URI parsing and handling library written in C89.	
usbmuxd	LGPL-2.1-only	http://www.libimobiledevice.org	A socket daemon to multiplex connections from and to iOS devices	
usd	None	https://github.com/PixarAnimationStudios/USD	Universal Scene Description (USD) is an efficient, scalable system for authoring, reading, and streaming time-sampled scene description for interchange between graphics applications.	
usockets	Apache-2.0	https://github.com/uNetworking/uSockets	Miniscule cross-platform eventing, networking & crypto for async applications	
usrsctp			A userland SCTP stack supporting FreeBSD, Linux, Mac OS X and Windows.	
utf8h	Unlicense	https://github.com/sheredom/utf8.h	Single header utf8 string functions for C and C++	
utf8proc	MIT	https://github.com/JuliaLang/utf8proc	Clean C library for processing UTF-8 Unicode data.	
utfcpp	BSL-1.0	https://github.com/nemtrif/utfcpp	UTF-8 with C++ in a Portable Way	
utfz		https://github.com/IMQS/utfz	A tiny C++ library for parsing and encoding utf-8	
uthash	BSD-1-Clause	https://troydhanson.github.io/uthash/	C macros for hash tables and more.	
uthenticode		https://github.com/trailofbits/uthenticode	A cross-platform library for verifying Authenticode signatures	
uvatlas	MIT	https://github.com/Microsoft/UVAtlas	UVAtlas isochart texture atlas	
uvw	MIT	https://github.com/skypjack/uvw	Header-only, event based, tiny and easy to use libuv wrapper in modern C++.	
uwebsockets	Apache-2.0	https://github.com/uWebSockets/uWebSockets	Simple, secure & standards compliant web I/O for the most demanding of applications	
v-hacd		https://github.com/kmammou/v-hacd	The V-HACD library decomposes a 3D surface into a set of "near" convex parts.	
v8	BSD-3-Clause	https://v8.dev	Google Chrome's JavaScript engine	
valijson			Header-only C++ library for JSON Schema validation	
value-ptr-lite		https://github.com/martinmoene/value-ptr-lite	A C++ smart-pointer with value semantics for C++98, C++11 and later in a single-file header-only library.	
vamp-sdk	MIT	https://www.vamp-plugins.org/develop.html	Library for Vamp plugins	
variant-lite			A C++17-like variant, a type-safe union for C++98, C++11 and later in a single-file header-only library	
vc	BSD-3-Clause	https://github.com/VcDevel/Vc	SIMD Vector Classes for C++ .	
vcglib	GPL-3.0-only		library for manipulation, processing, cleaning, simplifying triangle meshes.	
vcpkg-cmake	MIT			
vcpkg-cmake-config	MIT			
vcpkg-cmake-get-vars	MIT			
vcpkg-get-python-packages	MIT			
vcpkg-gfortran			Metaport to install gfortran dependencies from msys if VCPKG_USE_EXTERNAL_Fortran is false	
vcpkg-gn	MIT		https://gn.googlesource.com/gn/+/4aa9bdfa05b688c58d3d7d3e496f3f18cbb3d89e	
vcpkg-pkgconfig-get-modules	MIT			
vcpkg-qmake	MIT			
vcpkg-tool-bazel	Apache-2.0	https://github.com/bazelbuild/bazel	Bazel build system	
vcpkg-tool-gn	None	https://gn.googlesource.com/gn/	GN build system	
vcpkg-tool-gyp-next			https://github.com/nodejs/gyp-next	
vcpkg-tool-lessmsi	MIT	https://github.com/activescott/lessmsi	This is a utility with a graphical user interface and a command line interface that can be used to view and extract the contents of an MSI file.	
vcpkg-tool-meson	Apache-2.0	https://github.com/mesonbuild/meson	Meson build system	
vcpkg-tool-mozbuild		https://firefox-source-docs.mozilla.org/build/buildsystem/mozbuild/index.html	mozbuild is a Python package providing functionality used by Mozilla’s build system	
vcpkg-tool-ninja	Apache-2.0	https://ninja-build.org/	Ninja is a small build system with a focus on speed.	
vcpkg-tool-nodejs				
vcpkg-tool-python2	PSF-2.0	https://www.python.org/download/releases/2.0/	Python 2	
vectorclass	Apache-2.0	https://github.com/vectorclass/version2	C++ class library for using the Single Instruction Multiple Data (SIMD) instructions in modern Microprocessors	
verdict	None	https://github.com/sandialabs/verdict	Compute quality functions of 2 and 3-dimensional regions.	
vili	MIT	https://github.com/ViliOrg/Vili	A nice and readable data format !	
visit-struct			A header-only library providing structure visitors for C++11 and C++14	
vk-bootstrap	MIT	https://github.com/charles-lunarg/vk-bootstrap	Vulkan bootstraping library	
vkfft	MIT	https://github.com/DTolm/VkFFT	Vulkan/CUDA/HIP/OpenCL/Level Zero Fast Fourier Transform library	
vlfeat		https://www.vlfeat.org	An open library of computer vision algorithms	
vlpp	None	https://github.com/vczh-libraries/Release	Common C++ construction, including string operation / generic container / linq / General-LR parser generator / multithreading / reflection for C++ / etc	
volk	MIT	https://github.com/zeux/volk	['Meta loader for Vulkan API.', 'Note that the static library target volk::volk is built without platform-specific defines.', 'Use the header-only target volk::volk_headers if you require platform-specific extensions.']	
vowpal-wabbit	BSD-3-Clause	https://github.com/vowpalwabbit/vowpal_wabbit	Reduction based online learning framework with a focus on contextual bandits and reinforcement learning.	
vs-yasm		https://github.com/ShiftMediaProject/VSYASM	Provides Visual Studio integration for the YASM assembler.	
vtk	BSD-3-Clause	https://github.com/Kitware/VTK	Software system for 3D computer graphics, image processing, and visualization	
vtk-dicom	BSD-3-Clause	https://github.com/dgobbi/vtk-dicom	DICOM for VTK	
vtk-m	None	https://gitlab.kitware.com/vtk/vtk-m/	VTK-m is a toolkit of scientific visualization algorithms for emerging processor architectures.	
vulkan			A graphics and compute API that provides high-efficiency, cross-platform access to modern GPUs on a wide variety of devices.	
vulkan-headers	Apache-2.0	https://github.com/KhronosGroup/Vulkan-Headers	Vulkan header files and API registry	
vulkan-hpp			Header only C++ bindings for the Vulkan C API	
vulkan-memory-allocator	MIT	https://github.com/GPUOpen-LibrariesAndSDKs/VulkanMemoryAllocator	Easy to integrate Vulkan memory allocation library from GPUOpen	
