Library	License	Homepage	About	Memo
basisu	Apache-2.0	https://github.com/BinomialLLC/basis_universal	Basis Universal is a supercompressed GPU texture and video compression format that outputs a highly compressed intermediate file format (.basis) that can be quickly transcoded to a wide variety of GPU texture compression formats.	
bcg729		https://github.com/BelledonneCommunications/bcg729	Bcg729 is an open source implementation of the ITU G.729 Annex A and B codec.	
bddisasm	Apache-2.0	https://github.com/bitdefender/bddisasm	bddisasm is a fast, lightweight, x86/x64 instruction decoder and emulator.	
bde			Basic Development Environment - a set of foundational C++ libraries used at Bloomberg.	
bdwgc	MIT	https://www.hboehm.info/gc/	The Boehm-Demers-Weiser conservative C/C++ Garbage Collector (libgc, bdwgc, boehm-gc)	
beast		https://www.boost.org/doc/libs/release/libs/beast/	HTTP/1 and WebSocket, header-only using Boost.Asio and C++11	
behaviortree-cpp		https://www.behaviortree.dev	Behavior Trees Library in C++.	
benchmark	Apache-2.0	https://github.com/google/benchmark	A library to support the benchmarking of functions, similar to unit-tests.	
bento4	None	https://github.com/axiomatic-systems/Bento4	Bento4 is a C++ class library and tools designed to read and write ISO-MP4 files. This format is defined in international specifications ISO/IEC 14496-12, 14496-14 and 14496-15.	
berkeleydb		https://download.oracle.com/	BDB - A high-performance embedded database for key/value data.	
bext-di		https://github.com/boost-ext/di	C++14 Dependency Injection Library.	
bext-sml	BSL-1.0	https://github.com/boost-ext/sml	Your scalable C++14 one header only State Machine Library with no dependencies	
bext-ut	BSL-1.0	https://boost-ext.github.io/ut/	UT: C++20 μ(micro)/Unit Testing Framework	
bext-wintls		https://github.com/laudrup/boost-wintls	Native Windows TLS stream wrapper for use with boost::asio	
bfgroup-lyra	BSL-1.0	https://bfgroup.github.io/Lyra/	A simple to use, composable, command line parser for C++ 11 and beyond	
bgfx	BSD-2-Clause	https://bkaradzic.github.io/bgfx/overview.html	Cross-platform, graphics API agnostic, Bring Your Own Engine/Framework style rendering library.	
bigint		https://mattmccutchen.net/bigint	C++ Big Integer Library	
binlog	Apache-2.0	http://opensource.morganstanley.com/binlog/	Binlog is a high performance C++ log library to produce structured binary logs.	
binn			Binn is a binary data serialization format designed to be compact, fast and easy to use.	
bitmagic		http://bitmagic.io	Algorithms and tools for Algebra of Sets for information retrieval, indexing of databases, scientific algorithms, ranking, clustering, unsupervised machine learning and signal processing.	
bitserializer	MIT	https://bitbucket.org/Pavel_Kisliak/bitserializer	C++ 17 library for serialization to JSON, XML, YAML, CSV	
bitserializer-cpprestjson			Deprecated alias for bitserializer-cpprestjson	
bitserializer-pugixml			Deprecated alias for bitserializer-pugixml	
bitserializer-rapidjson			Deprecated alias for bitserializer-rapidjson	
bitserializer-rapidyaml			Deprecated alias for bitserializer-rapidyaml	
bitsery		https://github.com/fraillt/bitsery	Header only C++ binary serialization library	
blake3	CC0-1.0 OR Apache-2.0	https://github.com/BLAKE3-team/BLAKE3	BLAKE3 cryptographic hash function.	
blas			Metapackage for packages which provide BLAS	
blaze	BSD-3-Clause	https://bitbucket.org/blaze-lib/blaze	Blaze is an open-source, high-performance C++ math library for dense and sparse arithmetic.	
blend2d	Zlib	https://github.com/blend2d/blend2d	Beta 2D Vector Graphics Powered by a JIT Compiler	
blitz		https://github.com/blitzpp/blitz	Blitz++ is a C++ template class library that provides high-performance multidimensional array containers for scientific computing.	
blosc	BSD-3-Clause	https://github.com/Blosc/c-blosc	A blocking, shuffling and loss-less compression library that can be faster than `memcpy()`	
boinc	LGPL-3.0-or-later	https://boinc.berkeley.edu/	Open-source software for volunteer computing and grid computing.	
bond		https://github.com/Microsoft/bond	Bond is a cross-platform framework for working with schematized data. It supports cross-language de/serialization and powerful generic mechanisms for efficiently manipulating data. Bond is broadly used at Microsoft in high scale services.	
boolinq		https://github.com/k06a/boolinq	Super tiny C++11 single-file header-only LINQ library	
boost	BSL-1.0	https://boost.org	Peer-reviewed portable C++ source libraries	
boost-accumulators	BSL-1.0	https://github.com/boostorg/accumulators	Boost accumulators module	
boost-algorithm	BSL-1.0	https://github.com/boostorg/algorithm	Boost algorithm module	
boost-align	BSL-1.0	https://github.com/boostorg/align	Boost align module	
boost-any	BSL-1.0	https://github.com/boostorg/any	Boost any module	
boost-array	BSL-1.0	https://github.com/boostorg/array	Boost array module	
boost-asio	BSL-1.0	https://github.com/boostorg/asio	Boost asio module	
boost-assert	BSL-1.0	https://github.com/boostorg/assert	Boost assert module	
boost-assign	BSL-1.0	https://github.com/boostorg/assign	Boost assign module	
boost-atomic	BSL-1.0	https://github.com/boostorg/atomic	Boost atomic module	
boost-beast	BSL-1.0	https://github.com/boostorg/beast	Boost beast module	
boost-bimap	BSL-1.0	https://github.com/boostorg/bimap	Boost bimap module	
boost-bind	BSL-1.0	https://github.com/boostorg/bind	Boost bind module	
boost-build	BSL-1.0	https://github.com/boostorg/build	Boost.Build	
boost-callable-traits	BSL-1.0	https://github.com/boostorg/callable_traits	Boost callable_traits module	
boost-chrono	BSL-1.0	https://github.com/boostorg/chrono	Boost chrono module	
boost-circular-buffer	BSL-1.0	https://github.com/boostorg/circular_buffer	Boost circular_buffer module	
boost-compatibility	BSL-1.0	https://github.com/boostorg/compatibility	Boost compatibility module	
boost-compute	BSL-1.0	https://github.com/boostorg/compute	Boost compute module	
